Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,128.279999,128.520004,127.339996,128.240005,125.379517,4653200
2021-03-17,128.460007,129.490005,127.489998,129.029999,126.151886,4291400
2021-03-18,128.940002,131.000000,127.790001,130.059998,127.158905,5835700
2021-03-19,130.020004,130.440002,128.529999,128.899994,126.024780,9845000
2021-03-22,128.500000,130.720001,127.889999,130.550003,127.637993,4164900
2021-03-23,130.440002,131.559998,129.800003,130.460007,127.550003,4356400
2021-03-24,130.949997,132.110001,130.570007,130.619995,127.706429,4005000
2021-03-25,130.330002,133.240005,129.770004,133.070007,130.101776,5554000
2021-03-26,133.289993,136.479996,133.119995,136.380005,133.337952,5567600
2021-03-29,135.979996,137.070007,135.509995,135.860001,132.829544,4622700
2021-03-30,135.860001,136.270004,134.020004,134.720001,131.714966,4790400
2021-03-31,134.539993,134.710007,132.710007,133.259995,130.287521,4945100
2021-04-01,133.759995,133.929993,132.270004,133.229996,130.258209,4074000
2021-04-05,133.639999,136.690002,133.399994,135.929993,132.897980,5471300
2021-04-06,135.580002,135.639999,134.089996,134.220001,131.226120,3621000
2021-04-07,133.839996,134.940002,133.779999,134.929993,131.920288,2976000
2021-04-08,134.570007,135.630005,134.160004,135.119995,132.106049,4087200
2021-04-09,134.869995,135.740005,134.710007,135.729996,132.702438,3023900
2021-04-12,135.020004,135.369995,133.850006,134.589996,131.587860,3754000
2021-04-13,133.000000,133.619995,130.380005,131.179993,128.253922,8033500
2021-04-14,131.309998,132.779999,130.520004,132.630005,129.671585,5868000
2021-04-15,133.279999,133.869995,132.220001,132.580002,129.622711,3884000
2021-04-16,133.000000,134.100006,132.949997,133.589996,130.610168,5291800
2021-04-19,133.600006,133.820007,132.580002,133.119995,130.150665,8198600
2021-04-20,137.070007,139.770004,136.699997,138.160004,135.078247,15480600
2021-04-21,138.059998,143.729996,137.710007,143.550003,140.348022,11909000
2021-04-22,143.699997,144.740005,141.000000,141.279999,138.128647,7101400
2021-04-23,141.309998,143.610001,140.949997,142.429993,139.252975,4556000
2021-04-26,142.419998,143.630005,141.479996,141.570007,138.412186,4710800
2021-04-27,141.690002,142.559998,140.750000,142.009995,138.842361,3884000
2021-04-28,142.919998,143.399994,142.100006,143.000000,139.810272,3768100
2021-04-29,144.130005,148.740005,142.979996,144.240005,141.022629,4353900
2021-04-30,143.699997,143.830002,140.550003,141.880005,138.715271,8872200
2021-05-03,143.809998,145.750000,143.550003,144.750000,141.521240,5733500
2021-05-04,144.410004,146.589996,144.330002,145.750000,142.498947,6350500
2021-05-05,145.940002,145.940002,144.970001,145.220001,141.980759,4999900
2021-05-06,145.259995,148.509995,145.179993,148.419998,145.109375,7503500
2021-05-07,145.919998,146.139999,144.570007,145.460007,143.804413,7003500
2021-05-10,145.800003,148.380005,145.800003,146.169998,144.506332,6983400
2021-05-11,144.990005,145.190002,142.899994,144.220001,142.578522,7126400
2021-05-12,143.839996,144.149994,141.139999,141.300003,139.691757,5959600
2021-05-13,141.449997,144.899994,141.279999,144.169998,142.529099,4595800
2021-05-14,145.110001,145.690002,143.960007,144.679993,143.033279,2747400
2021-05-17,144.440002,145.800003,144.330002,145.110001,143.458389,4275100
2021-05-18,144.779999,145.300003,143.229996,143.910004,142.272064,3824100
2021-05-19,142.320007,143.199997,140.919998,143.190002,141.560257,4300700
2021-05-20,143.119995,144.910004,142.160004,143.880005,142.242401,4112500
2021-05-21,144.279999,145.699997,144.279999,144.740005,143.092606,4033500
2021-05-24,145.059998,145.389999,144.179993,144.720001,143.072830,3297600
2021-05-25,144.919998,145.000000,143.199997,143.789993,142.153412,3937200
2021-05-26,143.500000,143.990005,143.039993,143.380005,141.748093,3083800
2021-05-27,143.820007,144.770004,143.630005,143.820007,142.183090,5630300
2021-05-28,144.210007,144.330002,143.490005,143.740005,142.103989,2534600
2021-06-01,145.000000,145.830002,143.750000,144.190002,142.548874,2417500
2021-06-02,144.619995,145.750000,144.110001,145.720001,144.061447,2786900
2021-06-03,144.910004,145.880005,144.039993,145.550003,143.893387,4130600
2021-06-04,146.000000,147.550003,145.759995,147.419998,145.742096,3117900
2021-06-07,147.550003,148.740005,147.169998,148.020004,146.335281,3462700
2021-06-08,148.119995,150.199997,148.119995,149.070007,147.373337,5080100
2021-06-09,149.029999,151.070007,148.820007,150.669998,148.955109,5303300
2021-06-10,151.470001,152.839996,149.759995,150.539993,148.826584,4758500
2021-06-11,150.429993,151.850006,150.369995,151.279999,149.558167,3438300
2021-06-14,150.710007,151.029999,148.660004,150.029999,148.322403,3344800
2021-06-15,149.850006,149.910004,148.600006,149.360001,147.660019,2513300
2021-06-16,149.759995,149.759995,147.220001,147.830002,146.147446,3878900
2021-06-17,147.550003,148.059998,145.279999,145.600006,143.942825,4367400
2021-06-18,144.479996,144.679993,143.039993,143.119995,141.491043,9156500
2021-06-21,144.110001,147.070007,144.059998,146.649994,144.980865,4285500
2021-06-22,146.520004,146.809998,145.350006,146.360001,144.694168,2437000
2021-06-23,146.429993,146.500000,144.570007,144.610001,142.964081,3202600
2021-06-24,145.800003,146.190002,144.690002,145.440002,143.784637,3609700
2021-06-25,145.380005,146.929993,144.949997,146.839996,145.168701,3594200
2021-06-28,147.009995,147.300003,144.910004,145.289993,143.636337,3888900
2021-06-29,145.259995,146.740005,145.100006,145.550003,143.893387,2428500
2021-06-30,145.130005,146.929993,144.710007,146.589996,144.921539,3245100
2021-07-01,146.960007,147.500000,146.570007,146.839996,145.168701,2686100
2021-07-02,146.910004,146.949997,139.460007,140.020004,138.426331,16811200
2021-07-06,139.990005,140.419998,137.100006,138.779999,137.200439,8093700
2021-07-07,138.759995,140.330002,138.759995,139.820007,138.228607,4059700
2021-07-08,137.779999,141.309998,137.660004,140.740005,139.138138,5487400
2021-07-09,141.449997,141.979996,140.839996,141.520004,139.909256,3904100
2021-07-12,141.429993,141.960007,140.119995,140.919998,139.316086,3342600
2021-07-13,140.919998,140.919998,139.630005,140.279999,138.683365,3164300
2021-07-14,140.720001,140.750000,138.929993,139.820007,138.228607,4403500
2021-07-15,139.320007,140.460007,138.800003,140.449997,138.851425,3639700
2021-07-16,141.000000,141.000000,138.589996,138.899994,137.319077,4109300
2021-07-19,136.449997,138.490005,136.210007,137.919998,136.350235,8582300
2021-07-20,143.000000,144.919998,138.699997,139.970001,138.376892,13611700
2021-07-21,139.970001,141.389999,139.649994,141.300003,139.691757,4804000
2021-07-22,141.660004,141.809998,140.410004,140.710007,139.108475,3314200
2021-07-23,140.960007,141.699997,140.330002,141.339996,139.731308,4474200
2021-07-26,141.389999,143.000000,141.130005,142.770004,141.145035,4246300
2021-07-27,142.529999,143.639999,141.600006,142.750000,141.125259,3137000
2021-07-28,143.009995,143.100006,141.639999,141.770004,140.156418,2543800
2021-07-29,142.330002,142.960007,141.600006,141.929993,140.314575,2670900
2021-07-30,141.520004,141.850006,140.789993,140.960007,139.355637,3534600
2021-08-02,141.449997,143.059998,141.029999,141.419998,139.810394,2929500
2021-08-03,141.899994,144.699997,141.649994,144.070007,142.430237,4084700
2021-08-04,143.800003,144.179993,142.470001,142.759995,141.135132,2830100
2021-08-05,143.029999,143.410004,142.220001,142.770004,141.145035,2757400
2021-08-06,143.000000,144.389999,142.889999,144.089996,142.449997,3822600
2021-08-09,142.199997,142.500000,140.970001,141.250000,141.250000,4904100
2021-08-10,141.210007,141.809998,140.339996,141.380005,141.380005,5299900
2021-08-11,141.779999,142.770004,141.500000,142.130005,142.130005,4260000
2021-08-12,142.259995,143.149994,142.080002,143.070007,143.070007,2088700
2021-08-13,142.639999,143.580002,142.440002,143.179993,143.179993,1910100
2021-08-16,143.229996,143.740005,142.229996,143.589996,143.589996,2785200
2021-08-17,143.000000,143.160004,141.089996,142.419998,142.419998,3073800
2021-08-18,141.669998,141.919998,139.389999,139.470001,139.470001,3510700
2021-08-19,138.690002,139.449997,137.210007,138.020004,138.020004,4160100
2021-08-20,137.740005,139.380005,137.270004,139.110001,139.110001,2656300
2021-08-23,139.619995,140.149994,138.800003,139.619995,139.619995,3039600
2021-08-24,139.779999,140.229996,139.320007,139.839996,139.839996,2365600
2021-08-25,139.919998,140.800003,139.460007,139.860001,139.860001,2012800
2021-08-26,139.970001,140.800003,138.710007,138.779999,138.779999,2498700
2021-08-27,138.710007,139.589996,138.399994,139.410004,139.410004,2459500
2021-08-30,139.500000,139.880005,138.820007,138.970001,138.970001,1995500
2021-08-31,139.539993,140.940002,138.949997,140.339996,140.339996,4235100
2021-09-01,139.979996,140.070007,139.190002,139.300003,139.300003,2474500
2021-09-02,139.720001,140.050003,139.029999,140.009995,140.009995,2715500
2021-09-03,139.679993,140.470001,139.300003,139.580002,139.580002,1921200
2021-09-07,139.649994,139.789993,137.759995,138.059998,138.059998,3285000
2021-09-08,138.139999,139.089996,137.600006,138.669998,138.669998,2985400
2021-09-09,137.850006,138.960007,137.559998,137.740005,137.740005,3508300
2021-09-10,138.820007,139.369995,137.000000,137.020004,137.020004,3974100
